ID. Participant ID,,Clip,Start,End,,Rate or restate,E3,E4,e5
UO1egg[S4_ABCD]. the page. [The woman made one or two of the eggs break.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO1egg,29,73,The woman made one or two of the eggs break.,Rate,C,D,C
"UO1egg[S4_ALT]. the page. [The woman made one or two of the eggs break.][Is there a way you could make this description better, maybe by changing a word?]",,UO1egg,28,72,The woman made one or two of the eggs break.,Restate,,,
UO1egg[S5_ABCD]. the page. [The woman broke one or two of the eggs.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO1egg,29,68,The woman broke one or two of the eggs.,Rate,D,D,C
"UO1egg[S5_ALT]. the page. [The woman broke one or two of the eggs.][Is there a way you could make this description better, maybe by changing a word?]",,UO1egg,28,67,The woman broke one or two of the eggs.,Restate,,,
UM3faint[S1_ABCD]. the page. [The man fell to the ground because the other man fell onto him.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UM3faint,31,94,The man fell to the ground because the other man fell onto him.,Rate,D,D,D
"UM3faint[S1_ALT]. the page. [The man fell to the ground because the other man fell onto him.][Is there a way you could make this description better, maybe by changing a word?]",,UM3faint,30,93,The man fell to the ground because the other man fell onto him.,Restate,,,
UM3faint[S2_ABCD]. the page. [The man in the grey shirt fell to the ground because of the man in the orange shirt.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UM3faint,31,115,The man in the grey shirt fell to the ground because of the man in the orange shirt.,Rate,C,D,C
"UM3faint[S2_ALT]. the page. [The man in the grey shirt fell to the ground because of the man in the orange shirt.][Is there a way you could make this description better, maybe by changing a word?]",,UM3faint,30,114,The man in the grey shirt fell to the ground because of the man in the orange shirt.,Restate,,,
UM3faint[S3_ABCD]. the page. [The man caused the other man to fall to the floor.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UM3faint,31,81,The man caused the other man to fall to the floor.,Rate,C,D,C
"UM3faint[S3_ALT]. the page. [The man caused the other man to fall to the floor.][Is there a way you could make this description better, maybe by changing a word?]",,UM3faint,30,80,The man caused the other man to fall to the floor.,Restate,,,
UM3faint[S4_ABCD]. the page. [The man made the other man fall to the floor.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UM3faint,31,76,The man made the other man fall to the floor.,Rate,C,D,C
"UM3faint[S4_ALT]. the page. [The man made the other man fall to the floor.][Is there a way you could make this description better, maybe by changing a word?]",,UM3faint,30,75,The man made the other man fall to the floor.,Restate,,,
UM3faint[S5_ABCD]. the page. [The man knocked the other man over.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UM3faint,31,66,The man knocked the other man over.,Rate,C,C,D
"UM3faint[S5_ALT]. the page. [The man knocked the other man over.][Is there a way you could make this description better, maybe by changing a word?]",,UM3faint,30,65,The man knocked the other man over.,Restate,, The man  accidentally knocked the other man over. ,
UM3faint[S6_ABCD]. the page. [The man fell on the other man so unexpectedly that the other man fell over.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UM3faint,31,106,The man fell on the other man so unexpectedly that the other man fell over.,Rate,D,D,C
"UM3faint[S6_ALT]. the page. [The man fell on the other man so unexpectedly that the other man fell over.][Is there a way you could make this description better, maybe by changing a word?]",,UM3faint,30,105,The man fell on the other man so unexpectedly that the other man fell over.,Restate,,,
HMO4cups[S1_ABCD]. the page. [The woman pushed the man into knocking over the cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,31,84,The woman pushed the man into knocking over the cups.,Rate,D,D,B
"HMO4cups[S1_ALT]. the page. [The woman pushed the man into knocking over the cups.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,30,83,The woman pushed the man into knocking over the cups.,Restate,,,
HMO4cups[S2_ABCD]. the page. [The man knocked over the cups because the woman pushed him.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,31,90,The man knocked over the cups because the woman pushed him.,Rate,D,D,D
"HMO4cups[S2_ALT]. the page. [The man knocked over the cups because the woman pushed him.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,30,89,The man knocked over the cups because the woman pushed him.,Restate,,,
HMO4cups[S3_ABCD]. the page. [The stack of cups fell down because of the woman in the purple shirt.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,31,100,The stack of cups fell down because of the woman in the purple shirt.,Rate,C,D,C
"HMO4cups[S3_ALT]. the page. [The stack of cups fell down because of the woman in the purple shirt.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,30,99,The stack of cups fell down because of the woman in the purple shirt.,Restate,,,
HMO4cups[S4_ABCD]. the page. [The woman caused the stack of cups to fall down.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,31,79,The woman caused the stack of cups to fall down.,Rate,C,C,B
"HMO4cups[S4_ALT]. the page. [The woman caused the stack of cups to fall down.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,30,78,The woman caused the stack of cups to fall down.,Restate,,,
HMO4cups[S5_ABCD]. the page. [The woman caused the man to knock over the stack of cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,31,88,The woman caused the man to knock over the stack of cups.,Rate,D,D,C
"HMO4cups[S5_ALT]. the page. [The woman caused the man to knock over the stack of cups.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,30,87,The woman caused the man to knock over the stack of cups.,Restate,,,
HMO4cups[CONTROL_ABCD]. the page. [The woman and the man built a tower of cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,36,80,The woman and the man built a tower of cups.,Rate,B,B,B
"HMO4cups[CONTROL_ALT]. the page. [The woman and the man built a tower of cups.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,35,79,The woman and the man built a tower of cups.,Restate,,,
HMO4cups[S7_ABCD]. the page. [The woman made the stack of cups fall down.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,31,74,The woman made the stack of cups fall down.,Rate,C,C,B
"HMO4cups[S7_ALT]. the page. [The woman made the stack of cups fall down.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,30,73,The woman made the stack of cups fall down.,Restate,,,
HMO4cups[S8_ABCD]. the page. [The woman made the man knock over the stack of cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,31,83,The woman made the man knock over the stack of cups.,Rate,C,D,C
"HMO4cups[S8_ALT]. the page. [The woman made the man knock over the stack of cups.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,30,82,The woman made the man knock over the stack of cups.,Restate,,,
HMO4cups[S9_ABCD]. the page. [The woman knocked over the stack of cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,31,72,The woman knocked over the stack of cups.,Rate,C,C,B
"HMO4cups[S9_ALT]. the page. [The woman knocked over the stack of cups.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,30,71,The woman knocked over the stack of cups.,Restate,,,
HMO4cups[S10_ABCD]. the page. [The woman pushed the man so hard that he knocked over the cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,32,95,The woman pushed the man so hard that he knocked over the cups.,Rate,D,D,D
"HMO4cups[S10_ALT]. the page. [The woman pushed the man so hard that he knocked over the cups.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,31,94,The woman pushed the man so hard that he knocked over the cups.,Restate,,,
HMO4cups[S11_ABCD]. the page. [The woman destroyed the stack of cups.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HMO4cups,32,70,The woman destroyed the stack of cups.,Rate,C,D,B
"HMO4cups[S11_ALT]. the page. [The woman destroyed the stack of cups.][Is there a way you could make this description better, maybe by changing a word?]",,HMO4cups,31,69,The woman destroyed the stack of cups.,Restate,,,
HU2scare[S1_ABCD]. the page. [The boy was scared because the girl yelled.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HU2scare,31,74,The boy was scared because the girl yelled.,Rate,C,C,D
"HU2scare[S1_ALT]. the page. [The boy was scared because the girl yelled.][Is there a way you could make this description better, maybe by changing a word?]",,HU2scare,30,73,The boy was scared because the girl yelled.,Restate,, The boy was scared because the girl unexpectedly yelled. ,
HU2scare[S2_ABCD]. the page. [The boy was scared because of the girl.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HU2scare,31,70,The boy was scared because of the girl.,Rate,D,D,D
"HU2scare[S2_ALT]. the page. [The boy was scared because of the girl.][Is there a way you could make this description better, maybe by changing a word?]",,HU2scare,30,69,The boy was scared because of the girl.,Restate,surprised ,,
HU2scare[S3_ABCD]. the page. [The girl caused the boy to be scared.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HU2scare,31,68,The girl caused the boy to be scared.,Rate,C,C,D
"HU2scare[S3_ALT]. the page. [The girl caused the boy to be scared.][Is there a way you could make this description better, maybe by changing a word?]",,HU2scare,30,67,The girl caused the boy to be scared.,Restate,surprised,,
HU2scare[CONTROL_ABCD]. the page. [The girl made the boy laugh.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HU2scare,36,64,The girl made the boy laugh.,Rate,B,B,B
"HU2scare[CONTROL_ALT]. the page. [The girl made the boy laugh.][Is there a way you could make this description better, maybe by changing a word?]",,HU2scare,35,63,The girl made the boy laugh.,Restate,,,
HU2scare[S5_ABCD]. the page. [The girl made the boy be scared.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HU2scare,31,63,The girl made the boy be scared.,Rate,C,C,C
"HU2scare[S5_ALT]. the page. [The girl made the boy be scared.][Is there a way you could make this description better, maybe by changing a word?]",,HU2scare,30,62,The girl made the boy be scared.,Restate,,,
HU2scare[S6_ABCD]. the page. [The girl yelled so unexpectedly that the boy got scared.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HU2scare,31,87,The girl yelled so unexpectedly that the boy got scared.,Rate,D,C,D
"HU2scare[S6_ALT]. the page. [The girl yelled so unexpectedly that the boy got scared.][Is there a way you could make this description better, maybe by changing a word?]",,HU2scare,30,86,The girl yelled so unexpectedly that the boy got scared.,Restate,, The girl yelled so unexpectedly that the boy was scared by it. ,
HU2scare[S7_ABCD]. the page. [The girl yelled so unexpectedly that she scared the boy.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HU2scare,31,87,The girl yelled so unexpectedly that she scared the boy.,Rate,D,C,D
"HU2scare[S7_ALT]. the page. [The girl yelled so unexpectedly that she scared the boy.][Is there a way you could make this description better, maybe by changing a word?]",,HU2scare,30,86,The girl yelled so unexpectedly that she scared the boy.,Restate,, The girl yelled unexpectedly and scared the boy. ,
HU2scare[S8_ABCD]. the page. [The girl scared the boy.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HU2scare,31,55,The girl scared the boy.,Rate,D,D,D
"HU2scare[S8_ALT]. the page. [The girl scared the boy.][Is there a way you could make this description better, maybe by changing a word?]",,HU2scare,30,54,The girl scared the boy.,Restate,,,
UO2paper[S1_ABCD]. the page. [The page tore because the woman flipped through the book quickly.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO2paper,31,96,The page tore because the woman flipped through the book quickly.,Rate,D,D,D
"UO2paper[S1_ALT]. the page. [The page tore because the woman flipped through the book quickly.][Is there a way you could make this description better, maybe by changing a word?]",,UO2paper,30,95,The page tore because the woman flipped through the book quickly.,Restate,,,
UO2paper[S2_ABCD]. the page. [The page tore because of the woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO2paper,31,66,The page tore because of the woman.,Rate,D,D,C
"UO2paper[S2_ALT]. the page. [The page tore because of the woman.][Is there a way you could make this description better, maybe by changing a word?]",,UO2paper,30,65,The page tore because of the woman.,Restate,,,
UO2paper[S3_ABCD]. the page. [The woman caused the page to tear.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO2paper,31,65,The woman caused the page to tear.,Rate,C,D,D
"UO2paper[S3_ALT]. the page. [The woman caused the page to tear.][Is there a way you could make this description better, maybe by changing a word?]",,UO2paper,30,64,The woman caused the page to tear.,Restate,,,
UO2paper[S4_ABCD]. the page. [The woman made the page tear.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO2paper,31,60,The woman made the page tear.,Rate,C,D,C
"UO2paper[S4_ALT]. the page. [The woman made the page tear.][Is there a way you could make this description better, maybe by changing a word?]",,UO2paper,30,59,The woman made the page tear.,Restate,,,
UO2paper[S5_ABCD]. the page. [The woman tore the page.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UO2paper,31,55,The woman tore the page.,Rate,D,D,D
"UO2paper[S5_ALT]. the page. [The woman tore the page.][Is there a way you could make this description better, maybe by changing a word?]",,UO2paper,30,54,The woman tore the page.,Restate,,,
HCO3eggnew[S1_ABCD]. the page. [The woman broke the egg because the man told her to break it.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCO3eggnew,33,94,The woman broke the egg because the man told her to break it.,Rate,D,D,D
"HCO3eggnew[S1_ALT]. the page. [The woman broke the egg because the man told her to break it.][Is there a way you could make this description better, maybe by changing a word?]",,HCO3eggnew,32,93,The woman broke the egg because the man told her to break it.,Restate,,,
HCO3eggnew[S2_ABCD]. the page. [The egg broke because of the man.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCO3eggnew,33,66,The egg broke because of the man.,Rate,B,B,C
"HCO3eggnew[S2_ALT]. the page. [The egg broke because of the man.][Is there a way you could make this description better, maybe by changing a word?]",,HCO3eggnew,32,65,The egg broke because of the man.,Restate,,,
HCO3eggnew[S3_ABCD]. the page. [The woman caused the egg to crack.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCO3eggnew,33,67,The woman caused the egg to crack.,Rate,C,C,C
"HCO3eggnew[S3_ALT]. the page. [The woman caused the egg to crack.][Is there a way you could make this description better, maybe by changing a word?]",,HCO3eggnew,32,66,The woman caused the egg to crack.,Restate,,,
HCO3eggnew[S4_ABCD]. the page. [The man caused the woman to crack the egg.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCO3eggnew,33,75,The man caused the woman to crack the egg.,Rate,C,C,D
"HCO3eggnew[S4_ALT]. the page. [The man caused the woman to crack the egg.][Is there a way you could make this description better, maybe by changing a word?]",,HCO3eggnew,32,74,The man caused the woman to crack the egg.,Restate,,,
HCO3eggnew[S5_ABCD]. the page. [The man made the egg break.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCO3eggnew,33,60,The man made the egg break.,Rate,B,C,B
"HCO3eggnew[S5_ALT]. the page. [The man made the egg break.][Is there a way you could make this description better, maybe by changing a word?]",,HCO3eggnew,32,59,The man made the egg break.,Restate,,,
HCO3eggnew[S6_ABCD]. the page. [The man made the woman crack the egg.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCO3eggnew,33,70,The man made the woman crack the egg.,Rate,C,C,D
"HCO3eggnew[S6_ALT]. the page. [The man made the woman crack the egg.][Is there a way you could make this description better, maybe by changing a word?]",,HCO3eggnew,32,69,The man made the woman crack the egg.,Restate,, The man wanted the woman to crack the egg. ,
HCO3eggnew[S7_ABCD]. the page. [The man cracked an egg open.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCO3eggnew,33,61,The man cracked an egg open.,Rate,B,B,B
"HCO3eggnew[S7_ALT]. the page. [The man cracked an egg open.][Is there a way you could make this description better, maybe by changing a word?]",,HCO3eggnew,32,60,The man cracked an egg open.,Restate,,,
HCO3eggnew[S8_ABCD]. the page. [The man cracked the egg.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCO3eggnew,33,57,The man cracked the egg.,Rate,B,B,B
"HCO3eggnew[S8_ALT]. the page. [The man cracked the egg.][Is there a way you could make this description better, maybe by changing a word?]",,HCO3eggnew,32,56,The man cracked the egg.,Restate,,,
NC1tsunami[S1_ABCD]. the page. [The man ran away because the tsunami was coming.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NC1tsunami,33,81,The man ran away because the tsunami was coming.,Rate,D,D,D
"NC1tsunami[S1_ALT]. the page. [The man ran away because the tsunami was coming.][Is there a way you could make this description better, maybe by changing a word?]",,NC1tsunami,32,80,The man ran away because the tsunami was coming.,Restate,,,
NC1tsunami[S2_ABCD]. the page. [The man ran away because of the tsunami.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NC1tsunami,33,73,The man ran away because of the tsunami.,Rate,D,D,C
"NC1tsunami[S2_ALT]. the page. [The man ran away because of the tsunami.][Is there a way you could make this description better, maybe by changing a word?]",,NC1tsunami,32,72,The man ran away because of the tsunami.,Restate,,,
NC1tsunami[S3_ABCD]. the page. [The tsunami caused the man to run away.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NC1tsunami,33,72,The tsunami caused the man to run away.,Rate,D,C,D
"NC1tsunami[S3_ALT]. the page. [The tsunami caused the man to run away.][Is there a way you could make this description better, maybe by changing a word?]",,NC1tsunami,32,71,The tsunami caused the man to run away.,Restate,,,
NC1tsunami[CONTROL_ABCD]. the page. [The man watched the tsunami calmly.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NC1tsunami,38,73,The man watched the tsunami calmly.,Rate,B,B,B
"NC1tsunami[CONTROL_ALT]. the page. [The man watched the tsunami calmly.][Is there a way you could make this description better, maybe by changing a word?]",,NC1tsunami,37,72,The man watched the tsunami calmly.,Restate,,,
NC1tsunami[S5_ABCD]. the page. [The man saw a big wave coming towards him so he ran.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NC1tsunami,33,85,The man saw a big wave coming towards him so he ran.,Rate,D,D,D
"NC1tsunami[S5_ALT]. the page. [The man saw a big wave coming towards him so he ran.][Is there a way you could make this description better, maybe by changing a word?]",,NC1tsunami,32,84,The man saw a big wave coming towards him so he ran.,Restate,,,
NC1tsunami[S6_ABCD]. the page. [The tsunami made the man run away.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NC1tsunami,33,67,The tsunami made the man run away.,Rate,D,D,C
"NC1tsunami[S6_ALT]. the page. [The tsunami made the man run away.][Is there a way you could make this description better, maybe by changing a word?]",,NC1tsunami,32,66,The tsunami made the man run away.,Restate,,,
NC1tsunami[S7_ABCD]. the page. [The tsunami scared the man away.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NC1tsunami,33,65,The tsunami scared the man away.,Rate,D,D,D
"NC1tsunami[S7_ALT]. the page. [The tsunami scared the man away.][Is there a way you could make this description better, maybe by changing a word?]",,NC1tsunami,32,64,The tsunami scared the man away.,Restate,,,
NC1tsunami[S8_ABCD]. the page. [The wave approached so quickly that the man ran away.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,NC1tsunami,33,86,The wave approached so quickly that the man ran away.,Rate,D,C,D
"NC1tsunami[S8_ALT]. the page. [The wave approached so quickly that the man ran away.][Is there a way you could make this description better, maybe by changing a word?]",,NC1tsunami,32,85,The wave approached so quickly that the man ran away.,Restate,, The wave approached so frightfully that the man ran away. ,
HOI3plate[S1_ABCD]. the page. [The plate broke because the woman hit it with the broom.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI3plate,32,88,The plate broke because the woman hit it with the broom.,Rate,D,D,C
"HOI3plate[S1_ALT]. the page. [The plate broke because the woman hit it with the broom.][Is there a way you could make this description better, maybe by changing a word?]",,HOI3plate,31,87,The plate broke because the woman hit it with the broom.,Restate,,,
HOI3plate[S2_ABCD]. the page. [The plate broke because of the woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI3plate,32,69,The plate broke because of the woman.,Rate,C,D,C
"HOI3plate[S2_ALT]. the page. [The plate broke because of the woman.][Is there a way you could make this description better, maybe by changing a word?]",,HOI3plate,31,68,The plate broke because of the woman.,Restate,,,
HOI3plate[S3_ABCD]. the page. [The woman caused the plate to break with the broom.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI3plate,32,83,The woman caused the plate to break with the broom.,Rate,D,C,D
"HOI3plate[S3_ALT]. the page. [The woman caused the plate to break with the broom.][Is there a way you could make this description better, maybe by changing a word?]",,HOI3plate,31,82,The woman caused the plate to break with the broom.,Restate,,The woman caused the plate to break using the broom.,
HOI3plate[CONTROL_ABCD]. the page. [The woman swept the floor around the plate.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI3plate,37,80,The woman swept the floor around the plate.,Rate,B,B,B
"HOI3plate[CONTROL_ALT]. the page. [The woman swept the floor around the plate.][Is there a way you could make this description better, maybe by changing a word?]",,HOI3plate,36,79,The woman swept the floor around the plate.,Restate,,,
HOI3plate[S5_ABCD]. the page. [The woman made the plate break with the broom.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI3plate,32,78,The woman made the plate break with the broom.,Rate,D,C,C
"HOI3plate[S5_ALT]. the page. [The woman made the plate break with the broom.][Is there a way you could make this description better, maybe by changing a word?]",,HOI3plate,31,77,The woman made the plate break with the broom.,Restate,, The woman with the broom made the plate break. ,
HOI3plate[S6_ABCD]. the page. [The woman broke the plate into pieces with the broom.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI3plate,32,85,The woman broke the plate into pieces with the broom.,Rate,D,D,D
"HOI3plate[S6_ALT]. the page. [The woman broke the plate into pieces with the broom.][Is there a way you could make this description better, maybe by changing a word?]",,HOI3plate,31,84,The woman broke the plate into pieces with the broom.,Restate,,,
HOI3plate[S7_ABCD]. the page. [The woman hit the plate so hard with the broom that it broke.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI3plate,32,93,The woman hit the plate so hard with the broom that it broke.,Rate,D,D,D
"HOI3plate[S7_ALT]. the page. [The woman hit the plate so hard with the broom that it broke.][Is there a way you could make this description better, maybe by changing a word?]",,HOI3plate,31,92,The woman hit the plate so hard with the broom that it broke.,Restate,,,
HOI3plate[S8_ABCD]. the page. [The woman broke the plate with the broom.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HOI3plate,32,73,The woman broke the plate with the broom.,Rate,D,C,D
"HOI3plate[S8_ALT]. the page. [The woman broke the plate with the broom.][Is there a way you could make this description better, maybe by changing a word?]",,HOI3plate,31,72,The woman broke the plate with the broom.,Restate,, The woman broke the plate using the broom. ,
UC1sing[S1_ABCD]. the page. [The woman left because the other woman was singing out of tune.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UC1sing,30,93,The woman left because the other woman was singing out of tune.,Rate,C,D,C
"UC1sing[S1_ALT]. the page. [The woman left because the other woman was singing out of tune.][Is there a way you could make this description better, maybe by changing a word?]",,UC1sing,29,92,The woman left because the other woman was singing out of tune.,Restate,,,
UC1sing[S2_ABCD]. the page. [The woman left because of the other woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UC1sing,30,72,The woman left because of the other woman.,Rate,C,D,D
"UC1sing[S2_ALT]. the page. [The woman left because of the other woman.][Is there a way you could make this description better, maybe by changing a word?]",,UC1sing,29,71,The woman left because of the other woman.,Restate,,,
UC1sing[S3_ABCD]. the page. [The woman caused the other woman to leave.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UC1sing,30,72,The woman caused the other woman to leave.,Rate,C,D,D
"UC1sing[S3_ALT]. the page. [The woman caused the other woman to leave.][Is there a way you could make this description better, maybe by changing a word?]",,UC1sing,29,71,The woman caused the other woman to leave.,Restate,,,
UC1sing[CONTROL_ABCD]. the page. [The women sang together.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UC1sing,35,59,The women sang together.,Rate,B,B,B
"UC1sing[CONTROL_ALT]. the page. [The women sang together.][Is there a way you could make this description better, maybe by changing a word?]",,UC1sing,34,58,The women sang together.,Restate,,,
"UC1sing[S5_ABCD]. the page. [The woman sang, and so another woman became irritated, so she walked away.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)]",,UC1sing,30,104,"The woman sang, and so another woman became irritated, so she walked away.",Rate,D,D,D
"UC1sing[S5_ALT]. the page. [The woman sang, and so another woman became irritated, so she walked away.][Is there a way you could make this description better, maybe by changing a word?]",,UC1sing,29,103,"The woman sang, and so another woman became irritated, so she walked away.",Restate,,,
UC1sing[S6_ABCD]. the page. [The woman made the other woman leave.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UC1sing,30,67,The woman made the other woman leave.,Rate,C,C,B
"UC1sing[S6_ALT]. the page. [The woman made the other woman leave.][Is there a way you could make this description better, maybe by changing a word?]",,UC1sing,29,66,The woman made the other woman leave.,Restate,,,
UC1sing[S7_ABCD]. the page. [The woman scared away the other woman.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UC1sing,30,68,The woman scared away the other woman.,Rate,B,C,C
"UC1sing[S7_ALT]. the page. [The woman scared away the other woman.][Is there a way you could make this description better, maybe by changing a word?]",,UC1sing,29,67,The woman scared away the other woman.,Restate,,,
UC1sing[S8_ABCD]. the page. [The woman sang so badly that the other woman left.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,UC1sing,30,80,The woman sang so badly that the other woman left.,Rate,C,D,D
"UC1sing[S8_ALT]. the page. [The woman sang so badly that the other woman left.][Is there a way you could make this description better, maybe by changing a word?]",,UC1sing,29,79,The woman sang so badly that the other woman left.,Restate,,,
HCOI2paper[S1_ABCD]. the page. [The woman cut the paper into pieces because the other woman told her to cut it.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCOI2paper,33,112,The woman cut the paper into pieces because the other woman told her to cut it.,Rate,D,D,C
"HCOI2paper[S1_ALT]. the page. [The woman cut the paper into pieces because the other woman told her to cut it.][Is there a way you could make this description better, maybe by changing a word?]",,HCOI2paper,32,111,The woman cut the paper into pieces because the other woman told her to cut it.,Restate,,,
HCOI2paper[S2_ABCD]. the page. [The piece of paper separated into pieces because of the woman in the striped shirt.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCOI2paper,33,116,The piece of paper separated into pieces because of the woman in the striped shirt.,Rate,B,C,C
"HCOI2paper[S2_ALT]. the page. [The piece of paper separated into pieces because of the woman in the striped shirt.][Is there a way you could make this description better, maybe by changing a word?]",,HCOI2paper,32,115,The piece of paper separated into pieces because of the woman in the striped shirt.,Restate,,,
HCOI2paper[S3_ABCD]. the page. [The woman in the striped shirt caused the piece of paper to separate into pieces.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCOI2paper,33,114,The woman in the striped shirt caused the piece of paper to separate into pieces.,Rate,C,C,B
"HCOI2paper[S3_ALT]. the page. [The woman in the striped shirt caused the piece of paper to separate into pieces.][Is there a way you could make this description better, maybe by changing a word?]",,HCOI2paper,32,113,The woman in the striped shirt caused the piece of paper to separate into pieces.,Restate,,,
HCOI2paper[S4_ABCD]. the page. [The woman caused the other woman to cut the piece of paper.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCOI2paper,33,92,The woman caused the other woman to cut the piece of paper.,Rate,C,C,C
"HCOI2paper[S4_ALT]. the page. [The woman caused the other woman to cut the piece of paper.][Is there a way you could make this description better, maybe by changing a word?]",,HCOI2paper,32,91,The woman caused the other woman to cut the piece of paper.,Restate,,,
HCOI2paper[CONTROL_ABCD]. the page. [The woman told the other woman to make an origami crane with the paper.][Enter one of: A: Not an English sentence B: False C: Misleading D: Good :-)],,HCOI2paper,38,109,The woman told the other woman to make an origami crane with the paper.,Rate,B,B,D
